Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5463440,2021-06-14T15:20:00Z,Strada Urbana,VIA TUSCOLANA,all'intersezione semaforizzata con,VIALE PALMIRO TOGLIATTI,VIALE PALMIRO TOGLIATTI,,,12.5701,41.8524
5464754,2021-06-14T15:30:00Z,Strada Urbana,VIA DELLE ISOLE CURZOLANE,all'intersezione semaforizzata con,VIA CAPRAIA,VIA CAPRAIA,,,12.532,41.9488
5463819,2021-06-14T15:40:00Z,Strada Urbana,PIAZZALE GIULIO PASTORE,all'intersezione con,VIALE ASIA,VIALE ASIA,,,12.4751,41.831
5463622,2021-06-14T16:10:00Z,Strada Urbana,VIA ALESSANDRO SOLIVETTI,all'intersezione con,VIA ANDREA VERGA,VIA ANDREA VERGA,,,12.4191,41.9364
5464653,2021-06-14T16:45:00Z,Strada Urbana,VIALE CARMELO BENE,all'intersezione con,VIA MONTE GRIMANO,VIA MONTE GRIMANO,,,12.5336,41.9751
5464356,2021-06-14T17:10:00Z,Strada Urbana,VIA ACCADEMIA DEGLI AGIATI,all'intersezione con,VIA DELL'ACCADEMIA ALDINA,VIA DELL'ACCADEMIA ALDINA,,,12.4894,41.8515
5465869,2021-06-14T17:25:00Z,Strada Urbana,VIALE EUROPA,all'intersezione con,VIALE UMBERTO TUPINI,VIALE UMBERTO TUPINI,,,12.4685,41.831
5465878,2021-06-14T17:35:00Z,Strada Urbana,LARGO DELLA CECCHIGNOLA,all'intersezione con,VIALE DELL'ESERCITO,VIALE DELL'ESERCITO,,,12.4873,41.8127
5464348,2021-06-14T17:50:00Z,Strada Urbana,VIA DEL PORTO FLUVIALE,all'intersezione semaforizzata con,VIA DEL GAZOMETRO,VIA DEL GAZOMETRO,,,12.4787,41.8724
5464290,2021-06-14T18:05:00Z,Strada Urbana,VIALE DELLA SORBONA,all'intersezione con,VIA STANFORD,VIA STANFORD,,,12.6087,41.8543
5464478,2021-06-14T18:50:00Z,Strada Urbana,VIA CECILIO STAZIO,all'intersezione con,VIALE DELLE MEDAGLIE D'ORO,VIALE DELLE MEDAGLIE D'ORO,,,12.4457,41.9231
5464617,2021-06-14T19:20:00Z,Strada Urbana,VIA OTTAVIO GASPARRI,all'intersezione semaforizzata con,CIRCONVALLAZIONE GIANICOLENSE,CIRCONVALLAZIONE GIANICOLENSE,,,12.4419,41.8782
5465128,2021-06-14T20:00:00Z,Strada Urbana,VIA TIBURTINA,all'intersezione semaforizzata con,PIAZZALE VALERIO MASSIMO,PIAZZALE VALERIO MASSIMO,,,12.5739,41.9257
5465164,2021-06-14T20:15:00Z,Strada Urbana,PIAZZALE FLAMINIO,da specificare,,,,in prossimità di Via Flaminia,12.4753,41.9118
5465137,2021-06-14T21:30:00Z,Strada Urbana,VIA SALARIA,all'intersezione semaforizzata con,VIA ANAPO,VIA ANAPO,,,12.5058,41.9267
5464700,2021-06-14T23:00:00Z,Strada Urbana,VIA SALARIA,all'intersezione semaforizzata con,VIA ANAPO,VIA ANAPO,,,12.5115,41.9873
5464357,2021-06-15T02:40:00Z,Strada Urbana,VIA TOMMASO FORTIFIOCCA,all'intersezione con,VIA ADOLFO OMODEO,VIA ADOLFO OMODEO,,,12.5222,41.8713
5464446,2021-06-15T03:00:00Z,Strada Urbana,PIAZZA BARCELLONA,all'intersezione con,VIA DELLE TRE FONTANE,VIA DELLE TRE FONTANE,,,12.47,41.8402
5466520,2021-06-15T05:00:00Z,Strada Urbana,VIADOTTO DELLA MAGLIANA,da specificare,,,,alt uscita via della Magliana,12.4597,41.8386
5465512,2021-06-15T07:25:00Z,Strada Urbana,VIALE GIUSEPPE SIRTORI,all'intersezione con,VIA PIETRO MARONCELLI,VIA PIETRO MARONCELLI,,,12.4484,41.8556
5465048,2021-06-15T09:50:00Z,Strada Urbana,VIA MUZIO SCEVOLA,all'intersezione con,VIA CLELIA,VIA CLELIA,,,12.5268,41.8748
5465551,2021-06-15T09:50:00Z,Strada Urbana,VIA DELLA MAGLIANA,all'intersezione con,VIA DELLE IDROVORE DELLA MAGLIANA,VIA DELLE IDROVORE DELLA MAGLIANA,,,12.4196,41.8317
